price,volume,time,buyorsell,marketorlimit,misc,unixtime
34.40000,0.01647000,2014-01-13 16:18:21,s,l,,1389647901.18
34.40000,0.11500000,2014-01-13 16:18:26,s,l,,1389647906.1
34.40000,0.17717000,2014-01-13 16:23:20,s,l,,1389648200.26
34.40000,0.15125000,2014-01-13 16:23:25,s,l,,1389648205.8
34.42000,0.15125000,2014-01-13 16:24:51,b,l,,1389648291.52
34.40000,0.10000000,2014-01-13 16:25:44,s,m,,1389648344.77
34.40000,0.04371075,2014-01-13 16:26:26,s,l,,1389648386.7
34.40000,0.39000000,2014-01-13 16:31:49,s,m,,1389648709.93
34.40000,2.00000000,2014-01-13 16:38:23,s,l,,1389649103.3
34.54000,0.05511000,2014-01-13 16:42:27,b,l,,1389649347.85
34.40000,0.40914622,2014-01-13 16:43:05,s,m,,1389649385.31
34.25500,0.87477637,2014-01-13 16:43:05,s,m,,1389649385.32
34.25500,0.00607741,2014-01-13 16:43:05,s,m,,1389649385.34
34.25500,0.10000000,2014-01-13 16:46:31,s,m,,1389649591.68
34.25500,2.61534724,2014-01-13 16:46:59,s,l,,1389649619.53
34.25500,0.66295276,2014-01-13 16:46:59,s,l,,1389649619.54
34.54000,0.01158077,2014-01-13 17:13:45,b,l,,1389651225.16
34.54000,0.01000000,2014-01-13 17:15:07,b,l,,1389651307.7
34.54000,0.01000000,2014-01-13 17:26:09,b,l,,1389651969.49
34.25500,0.01840000,2014-01-13 17:33:22,s,l,,1389652402.17
34.25500,0.01500000,2014-01-13 17:35:52,s,l,,1389652552.09
34.25500,0.45500000,2014-01-13 17:42:25,s,l,,1389652945.41
34.25500,0.08037000,2014-01-13 17:42:29,s,l,,1389652950.0
34.25500,0.04019000,2014-01-13 17:42:45,s,l,,1389652965.78
34.25500,0.03695000,2014-01-13 17:43:06,s,l,,1389652986.8
34.25500,0.02695000,2014-01-13 17:43:27,s,l,,1389653007.08
34.25500,0.01347000,2014-01-13 17:43:47,s,l,,1389653027.83
34.25600,0.03257000,2014-01-13 17:45:09,s,l,,1389653109.69
34.25600,0.04507000,2014-01-13 17:45:30,s,l,,1389653130.62
34.25600,0.04491000,2014-01-13 17:45:51,s,l,,1389653151.96
34.33000,0.07925763,2014-01-13 17:49:06,b,l,,1389653346.54
34.33000,0.12020237,2014-01-13 17:49:09,b,l,,1389653349.23
34.36000,0.15343000,2014-01-13 17:50:35,b,l,,1389653435.55
34.36000,0.07671000,2014-01-13 17:53:17,b,l,,1389653597.2
34.35000,0.07671000,2014-01-13 17:54:29,b,l,,1389653669.37
34.30000,0.10000000,2014-01-13 18:02:57,s,l,,1389654177.72
34.30000,0.04000000,2014-01-13 18:03:10,s,l,,1389654190.43
34.30000,0.04000000,2014-01-13 18:03:23,s,l,,1389654203.94
34.35000,0.19946000,2014-01-13 18:04:43,b,l,,1389654283.37
34.35000,0.00054000,2014-01-13 18:04:44,s,l,,1389654284.17
34.30000,0.37845947,2014-01-13 18:04:44,s,l,,1389654284.18
34.25700,2.20456000,2014-01-13 18:04:44,s,l,,1389654284.19
34.25600,1.08996000,2014-01-13 18:04:44,s,l,,1389654284.2
34.14212,0.89879000,2014-01-13 18:04:44,s,l,,1389654284.21
34.01000,0.01292000,2014-01-13 18:04:44,s,l,,1389654284.21
34.00000,0.17730000,2014-01-13 18:04:45,b,l,,1389654285.09
34.00000,0.01019553,2014-01-13 18:04:55,b,l,,1389654295.83
34.00000,0.01019553,2014-01-13 18:04:58,b,l,,1389654298.67
34.00000,0.01019553,2014-01-13 18:05:01,b,l,,1389654301.61
34.00000,0.01019553,2014-01-13 18:05:09,b,l,,1389654309.11
34.00000,0.25803964,2014-01-13 18:05:10,b,l,,1389654310.53
34.00000,0.03058660,2014-01-13 18:05:14,b,l,,1389654314.62
34.00000,0.29005738,2014-01-13 18:05:16,b,l,,1389654316.51
34.00000,0.03056537,2014-01-13 18:05:19,b,l,,1389654319.67
34.00000,0.58743942,2014-01-13 18:06:11,b,l,,1389654371.38
34.07143,0.70818000,2014-01-13 18:06:11,b,l,,1389654371.39
34.39000,0.17476000,2014-01-13 18:08:13,b,l,,1389654493.49
34.40000,0.13500000,2014-01-13 18:08:14,s,l,,1389654494.97
34.40000,0.08738000,2014-01-13 18:08:17,s,l,,1389654497.99
34.40000,0.06286000,2014-01-13 18:08:23,s,l,,1389654503.82
34.38998,0.02598776,2014-01-13 18:25:54,b,l,,1389655554.2
34.38998,0.22362000,2014-01-13 18:35:13,b,l,,1389656113.68
34.38999,0.49798000,2014-01-13 18:35:13,b,l,,1389656113.7
34.37000,0.03800000,2014-01-13 18:43:30,b,l,,1389656610.17
34.15000,0.14000000,2014-01-13 18:49:38,s,l,,1389656978.7
34.18000,0.05584000,2014-01-13 18:49:47,b,l,,1389656987.3
34.38999,0.38396000,2014-01-13 18:49:47,b,l,,1389656987.31
34.15000,0.10000000,2014-01-13 18:55:52,s,m,,1389657352.38
34.15000,0.15000000,2014-01-13 18:56:31,s,l,,1389657391.17
34.15000,0.14897276,2014-01-13 18:56:31,s,l,,1389657391.28
34.38999,0.11806000,2014-01-13 19:05:13,b,l,,1389657913.6
34.39000,2.03194000,2014-01-13 19:05:13,b,l,,1389657913.61
34.39000,0.23262576,2014-01-13 19:11:39,b,m,,1389658299.43
34.39000,0.17337424,2014-01-13 19:38:06,b,l,,1389659886.31
34.54000,0.17598000,2014-01-13 19:38:06,b,l,,1389659886.47
34.54000,0.00299739,2014-01-13 20:57:56,b,l,,1389664676.21
34.54000,0.07509000,2014-01-13 21:07:04,b,l,,1389665224.41
34.54000,0.07827000,2014-01-13 21:07:05,b,l,,1389665225.22
34.54000,0.04005000,2014-01-13 21:10:14,b,l,,1389665414.41
34.54000,0.00169191,2014-01-13 21:11:34,b,l,,1389665494.77
34.69000,0.01331809,2014-01-13 21:11:34,b,l,,1389665494.79
34.64000,0.00999105,2014-01-13 21:14:07,s,l,,1389665647.51
